region_name,country_code,province_name,city_name,region_city_rank,Unnamed: 5,Unnamed: 6,Unnamed: 7,latitude,longitude
PACIFIC,NZ,OTAGO,QUEENSTOWN,8,,,,-45.0321923,168.661
PACIFIC,NZ,WELLINGTON,WELLINGTON,9,,,,-41.2887953,174.7772114
PACIFIC,AS,QUEENSLAND,SURFERS PARADISE,10,,,,-27.9989899,153.42398
"UK,SCOTLAND,IRELAND",UK,ENGLAND,LONDON,1,,,,51.5073359,-0.12765
"UK,SCOTLAND,IRELAND",EI,,DUBLIN,2,,,,53.3498006,-6.2602964
"UK,SCOTLAND,IRELAND",UK,CITY OF EDINBURGH - SCOTLAND,EDINBURGH,3,,,,55.9533456,-3.1883749
"UK,SCOTLAND,IRELAND",UK,CITY OF GLASGOW - SCOTLAND,GLASGOW,4,,,,55.8606182,-4.2497933
"UK,SCOTLAND,IRELAND",UK,MERSEYSIDE - ENGLAND,LIVERPOOL,5,,,,53.4071991,-2.99168
"UK,SCOTLAND,IRELAND",UK,GREATER MANCHESTER - ENGLAND,MANCHESTER,6,,,,53.4794892,-2.2451148
"UK,SCOTLAND,IRELAND",UK,WEST MIDLANDS - ENGLAND,BIRMINGHAM,7,,,,52.4796992,-1.9026911
"UK,SCOTLAND,IRELAND",UK,LANCASHIRE - ENGLAND,BLACKPOOL,8,,,,53.8179442,-3.0509812
"UK,SCOTLAND,IRELAND",UK,NORTH YORKSHIRE - ENGLAND,YORK,9,,,,53.9590555,-1.0815361
"UK,SCOTLAND,IRELAND",UK,CORNWALL - ENGLAND,NEWQUAY,10,,,,50.4134414,-5.0848836
INDIAN SUB-CONTINENT,IN,DELHI,NEW DELHI,1,,,,28.6138954,77.2090057
INDIAN SUB-CONTINENT,IN,KARNATAKA,BANGALORE,2,,,,12.9767936,77.590082
INDIAN SUB-CONTINENT,IN,MAHARASHTRA,MUMBAI,3,,,,19.0785451,72.878176
INDIAN SUB-CONTINENT,IN,TAMIL NADU,CHENNAI,4,,,,13.0836939,80.270186
INDIAN SUB-CONTINENT,IN,ANDHRA PRADESH,HYDERABAD,5,,,,17.360589,78.4740613
INDIAN SUB-CONTINENT,IN,RAJASTHAN,JAIPUR,6,,,,26.9154576,75.8189817
INDIAN SUB-CONTINENT,NP,MADHYAMANCHAL,KATHMANDU,7,,,,27.708317,85.3205817
INDIAN SUB-CONTINENT,IN,WEST BENGAL,KOLKATA,8,,,,22.5726459,88.3638953
INDIAN SUB-CONTINENT,IN,UTTAR PRADESH,VARANASI,9,,,,25.3356491,83.0076292
INDIAN SUB-CONTINENT,IN,MAHARASHTRA,PUNE,10,,,,18.521428,73.8544541
NORTHEAST ASIA,KR,SEOUL,SEOUL,1,,,,37.5666791,126.9782914
NORTHEAST ASIA,KR,SOUTH GYEONGSANG,BUSAN,2,,,,35.1799528,129.0752365
NORTHEAST ASIA,JP,KANTO,TOKYO,3,,,,35.6812665,139.757653
NORTHEAST ASIA,JP,KANSAI,KYOTO,4,,,,35.021041,135.7556075
NORTHEAST ASIA,JP,KANSAI,OSAKA,5,,,,34.661629000000005,135.49992679245517
