region_name,country_code,province_name,city_name,region_city_rank,TA_main_page
PACIFIC,AS,NEW SOUTH WALES,SYDNEY,1,https://www.tripadvisor.com/Tourism-g255060-Sydney_New_South_Wales-Vacations.html
PACIFIC,AS,VICTORIA,MELBOURNE,2,https://www.tripadvisor.com/Tourism-g255100-Melbourne_Victoria-Vacations.html
PACIFIC,NZ,AUCKLAND,AUCKLAND,3,https://www.tripadvisor.com/Tourism-g1811027-Auckland_North_Island-Vacations.html
PACIFIC,AS,QUEENSLAND,BRISBANE,4,https://www.tripadvisor.com/Tourism-g255068-Brisbane_Brisbane_Region_Queensland-Vacations.html
PACIFIC,AS,WESTERN AUSTRALIA,PERTH,5,https://www.tripadvisor.com/Tourism-g255103-Perth_Greater_Perth_Western_Australia-Vacations.html
PACIFIC,AS,QUEENSLAND,GOLD COAST,6,https://www.tripadvisor.com/Tourism-g255337-Gold_Coast_Queensland-Vacations.html
PACIFIC,NZ,CANTERBURY,CHRISTCHURCH,7,https://www.tripadvisor.com/Tourism-g255118-Christchurch_Canterbury_Region_South_Island-Vacations.html
PACIFIC,NZ,OTAGO,QUEENSTOWN,8,https://www.tripadvisor.com/Tourism-g255122-Queenstown_Otago_Region_South_Island-Vacations.html
PACIFIC,NZ,WELLINGTON,WELLINGTON,9,https://www.tripadvisor.com/Tourism-g255115-Wellington_Greater_Wellington_North_Island-Vacations.html
PACIFIC,AS,QUEENSLAND,SURFERS PARADISE,10,https://www.tripadvisor.com/Tourism-g255072-Surfers_Paradise_Gold_Coast_Queensland-Vacations.html
"UK,SCOTLAND,IRELAND",UK,ENGLAND,LONDON,1,https://www.tripadvisor.com/Tourism-g186338-London_England-Vacations.html
"UK,SCOTLAND,IRELAND",EI,,DUBLIN,2,https://www.tripadvisor.com/Tourism-g186605-Dublin_County_Dublin-Vacations.html
"UK,SCOTLAND,IRELAND",UK,CITY OF EDINBURGH - SCOTLAND,EDINBURGH,3,https://www.tripadvisor.com/Tourism-g186525-Edinburgh_Scotland-Vacations.html
"UK,SCOTLAND,IRELAND",UK,CITY OF GLASGOW - SCOTLAND,GLASGOW,4,https://www.tripadvisor.com/Tourism-g186534-Glasgow_Scotland-Vacations.html
"UK,SCOTLAND,IRELAND",UK,MERSEYSIDE - ENGLAND,LIVERPOOL,5,https://www.tripadvisor.com/Tourism-g186337-Liverpool_Merseyside_England-Vacations.html
"UK,SCOTLAND,IRELAND",UK,GREATER MANCHESTER - ENGLAND,MANCHESTER,6,https://www.tripadvisor.com/Tourism-g187069-Manchester_Greater_Manchester_England-Vacations.html
"UK,SCOTLAND,IRELAND",UK,WEST MIDLANDS - ENGLAND,BIRMINGHAM,7,https://www.tripadvisor.com/Tourism-g186402-Birmingham_West_Midlands_England-Vacations.html
"UK,SCOTLAND,IRELAND",UK,LANCASHIRE - ENGLAND,BLACKPOOL,8,https://www.tripadvisor.com/Tourism-g186332-Blackpool_Lancashire_England-Vacations.html
"UK,SCOTLAND,IRELAND",UK,NORTH YORKSHIRE - ENGLAND,YORK,9,https://www.tripadvisor.com/Tourism-g186346-York_North_Yorkshire_England-Vacations.html
"UK,SCOTLAND,IRELAND",UK,CORNWALL - ENGLAND,NEWQUAY,10,https://www.tripadvisor.com/Tourism-g186239-Newquay_Cornwall_England-Vacations.html
INDIAN SUB-CONTINENT,IN,DELHI,NEW DELHI,1,https://www.tripadvisor.com/Tourism-g304551-New_Delhi_National_Capital_Territory_of_Delhi-Vacations.html
